1,None
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,None
18,0
19,0
20,0
21,0
23,None
24,0
25,None
26,0
27,None
28,0
29,0
30,0
31,0
32,0
33,None
34,None
35,None
36,0
37,None
38,None
39,0
40,0
41,None
42,0
43,0
44,None
45,0
46,0
47,0
48,0
49,0
50,None
51,0
52,None
53,0
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,None
71,1
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,None
81,None
82,0
83,0
84,1
85,0
86,1
87,None
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,None
97,None
98,0
99,0
100,0
101,None
102,None
103,0
104,None
105,0
106,None
107,None
108,0
109,0
110,None
111,0
112,0
113,0
114,None
115,0
116,None
117,None
118,0
119,0
120,0
121,None
122,0
123,0
124,None
125,0
126,None
127,0
