1,0
2,0
3,0
4,0
5,0
6,0
7,None
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,None
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,None
29,1
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,None
41,None
42,1
43,0
44,1
45,0
46,None
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,None
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,None
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,None
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,None
111,0
112,0
113,1
114,None
115,1
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,1
131,0
132,0
